Title,Job Position,Location,Founded,Employees,About,Skills,Link
JP Morgan,Lead ML Engineer,Bangalore,Founded in 1900,More than 1000 employees,"Our presence in India began in 1922 when a heritage firm took an ownership interest in a merchant bank in Calcutta. Today, we provide clients in India a comprehensive range of corporate and investment banking services. Our global service centers in Mumbai, Bangalore and Hyderabad support operations globally.

We have operated in Asia Pacific since 1872 and today are present across 17 markets in the region. Local corporations and institutions, multinationals, governments and private clients rely on us for market-leading financial services - a confidence bred from our strength and ability to deliver integrated services across the Corporate & Investment Bank, Asset Management and the Private Bank.

In Asia Pacific, we are committed to helping promote economic growth and economic inclusion through our key philanthropic initiatives in the areas of workforce readiness, small business development and financial capability. Our investments aim to increase the number of quality jobs created for the underserved individuals and communities, helping small businesses become more sustainable, as well as assisting marginalized people in gaining access to affordable financial products so that they can become more financially secure. This shared commitment to the community drives our Foundation's giving and employee engagement and volunteering activities across the region.

J. P. Morgan is a global leader in financial services, offering solutions to the world's most important corporations, governments and institutions in more than 100 countries. The Firm and its Foundation give approximately US$200million annually to nonprofit organizations around the world. We also lead volunteer service activities for employees in local communities by utilizing our many resources, including those that stem from access to capital, economies of scale, global reach and expertise.","Computer Vision
Data Mining
Java
Machine Learning
NLP
Python
PyTorch
TensorFlow",https://www.instahyre.com/job-304016-lead-ml-engineer-at-jp-morgan-2-bangalore/
IDFC First Bank,Lead Marketing Analyst,Bangalore,Founded in 2015,More than 1000 employees,"IDFC First Bank provides a range of financial solutions to individuals, small businesses and corporate. The Bank offers savings and current accounts, NRI accounts, salary accounts, demat accounts, fixed and recurring deposits, home and personal loans, small business loans, forex products, payment solutions and wealth management services. IDFC First Bank has a nationwide presence and operates in the retail banking, wholesale banking and other banking segments.

Customers can choose where and how they want to bank: 216 branches, 49 cities, 140 ATMs and 454 rural business correspondent centres across the country, net banking, mobile banking and 24/7 toll free Banker-on-Call service.","Marketing
Data Analysis
SQL
Python",https://www.instahyre.com/job-326577-lead-marketing-analyst-at-idfc-first-bank-bangalore/
Nexthink,C++ Developer,Bangalore,Founded in 2004,500 - 1000 employees,"Nexthink is a software company focused on helping IT teams power productivity and performance for their employees around the world. Through a unique combination of real-time analytics, instant remediation, automation and employee feedback across endpoints and applications, Nexthink helps IT teams deliver on the promise of the modern digital workplace. Nexthink is the only solution to provide enterprises with a way to visualize, act and engage across the entire IT ecosystem to lower IT cost and improve digital employee experience.

Nexthink is the leader in digital employee experience management software. The company gives IT leaders unprecedented insight into employees' daily experiences of technology at the device level - freeing IT to progress from reactive problem solving to proactive optimization. Nexthink enables its more than 1,000 customers to provide better digital experiences to more than 11 million employees. Dual headquartered in Lausanne, switzerland and boston, massachusetts, Nexthink has 9 offices worldwide.","C++
Python
Quality Assurance
Networking
Linux",https://www.instahyre.com/job-323479-c-developer-at-nexthink-bangalore/
Kotak811,Senior Data Scientist,Bangalore,Founded in 2016,More than 1000 employees,"Kotak 811 is a digital-first mobile bank. Incubated by Kotak Mahindra Bank, Kotak811 is where innovation meets banking to offer the user the most seamless banking experience there has ever been.

The world is changing. Everything now moves at the speed of an internet connection. And so should a bank. But since we are talking about hard-earned money here, it's also important to be able to trust the banking partner. That's why we are offering Kotak811 India, as a country, decided to adopt the digital banking system on the 8th of November, 2016 And so Kotak811 was born to help India adapt, evolve, and eventually overcome the barrier of digital banking and make it accessible to all. Our sole aim is to bring the excitement and ease of digital banking with the trust and reassurance of Kotak Mahindra Bank's experience and legacy.","Machine Learning
PySpark
SQL
Statistical Modelling
Python",https://www.instahyre.com/job-322511-senior-data-scientist-at-kotak811-bangalore/
Manupatra,Python Developer,Noida,Founded in 2000,50 - 200 employees,"Manupatra has been innovating at the intersection of Law and Technology since the year 2000 and in the process designing and developing technology products that streamline the operations of lawyers, law firms, and legal departments. The company has pioneered online legal research in India with the debut launch of its legal research platform built over the most exhaustive legal and business information database.

A perfect blend of law and technology, the intuitive platform helps users navigate the law faster and improve their decision-making. Manupatra strives to be the indispensable partner of legal professionals, helping them win cases, manage their work more efficiently, serve their clients better, and grow their practices. To achieve this, the company has grown and diversified its product portfolio over the years, setting benchmarks as a pioneer for others to follow in the Legal-Tech space.","Web Scraping
BeautifulSoup
MongoDB
JavaScript
Python",https://www.instahyre.com/job-326569-python-developer-at-manupatra-noida/
Attackfence,Python Developer,Gurgaon,Founded in 2018,10 - 50 employees,"The Attackfence platform helps organizations to reduce their security incident MTTR from days to minutes by adding orchestration, automation, investigation, response, and remediation layer to their existing cyber security infrastructure, with groundbreaking log signaling technology. We increase the efficacy of SOC and incident management teams with effective incident management and threat hunting by automatically investigating the incident, collecting all the validated facts, creating and enforcing containment response, and initiating the threat remediation procedures.","Django
Flask
FastAPI",https://www.instahyre.com/job-317850-python-developer-at-attackfence-gurgaon/
Nimbbl,Backend Developer,Kolkata,Founded in 2020,10 - 50 employees,"Surfacing credit at the right place at the right time in the right form factor to create the most compelling customer experience is what Nimbbl is solving. We bring a single optimised integration providing access to all major payment methods, pay laters and multiple payment service providers, all in one place. Our payments solution caters to businesses of all sizes, payment aggregators, financial institutes/banks, pay later providers and more.

Nimbbl is founded by Amit Bansal and Anurag Pandey. Both of them are seasoned payments and fintech professionals and have worked in sales and product leadership roles respectively at India's top fintech companies.","Python
Django
Database Development
Data Structures
AWS",https://www.instahyre.com/job-327152-backend-developer-at-nimbbl-kolkata/
Wakefit,SDE 3 - Backend,Bangalore,Founded in 2016,More than 1000 employees,"Wakefit.co is a research and innovation-driven home and sleep solutions company established in March 2016 It was founded by Ankit Garg and Chaitanya Ramalingegowda and holds a vision to be the most loved home solutions company in India. With an ever-expanding portfolio that includes mattresses, pillows, bed frames, mattress protectors, comforters, bedsheets, pillows, back cushions, sofas, coffee tables, shoe racks, lighting, dcor, and much more. Wakefit.co manufactures all its products in-house.

The company sells its products across the country through its online portal and other online marketplaces. Apart from that, we are having 42+ Wakefit exclusive retail stores across India and expanding more. Wakefit.co prides itself on its customer experience, with over 50 Lakh customers serviced over the last seven years with 10 lakhs+ positive reviews received online. We are incredibly well funded by Marquee investors, Sequoia Capital India, Verlinvest India, SIG, and Investcorp. Wakefit has recorded 3x revenue growth year-on-year since 2016 and is currently valued at 2500 crores.

Wakefit.co follows a unique delivery model. It has a product-oriented approach that invests heavily in research and innovation to create products that are ahead of the industry curve. Products are shipped to our customers directly from the factory, thus ensuring significant cost reduction which gets passed on to the customer. The USP of the brand lies in the fact that our products are made after extensive customer interviews and extensive research.

We are looking for high-energy candidates to work on exciting business problems and create impact.","Python
Django
Data Structures
Algorithms",https://www.instahyre.com/job-326724-sde-3-backend-at-wakefit-bangalore/
Tinvio,AI Engineer,Work From Home,Founded in 2019,10 - 50 employees,"Tinvio is built around the idea that every merchant and supplier should be able to work smarter together. Through clean design, agile engineering, and genuine support, we unlock capabilities that make them more productive and profitable. A simple chat-to-order mobile app for merchants and suppliers to communicate better, manage orders flawlessly, and receive critical business insights.","Golang
Python",https://www.instahyre.com/job-319557-ai-engineer-at-tinvio-work-from-home/
Sundial,Cloud Platform Engineer,Bangalore,Founded in 2020,10 - 50 employees,"With Sundial, we're building a tool that enables companies to understand the holistic story of their product's performance and where to focus their energy.

Our mission is to enable builders to make meaningful use of data to fulfill their mission.

We believe in the product mantra: Diagnose with data and treat with design. If you understand the story of what's happening with your product, you will make better decisions.

Our work is to automate the analysis of yesterday so you can focus on the vision and strategy of tomorrow. We are a Sequoia backed firm and currently a team of around 25 people working from US & India and hiring actively for engineers and data scientists.","Kubernetes
AWS
Terraform
Python
Docker",https://www.instahyre.com/job-247410-cloud-platform-engineer-at-sundial-bangalore/
AstroTalk,DevOps Engineer,Noida,Founded in 2017,More than 1000 employees,"AstroTalk is the best astrology website for online Astrology predictions. Talk to Astrologer on call and get answers to all your worries by seeing the future life through Astrology Kundli Predictions from the best Astrologers from India. Get best future predictions related to Marriage, love life, Career or Health over call, chat, query or report.

At AstroTalk, our purpose is to make Astrology, the ancient occult science from India, available across the Globe by a click of a button. With genuine Astrologers & 24*7 customer support, we provide the best future predictions to counsel people during their difficult phase of life.","Bash
AWS
Python
Shell Scripting
Terraform",https://www.instahyre.com/job-320354-devops-engineer-at-astrotalk-noida/
StockGro,Data Engineer,Bangalore,Founded in 2020,10 - 50 employees,"StockGro is India's leading social investment platform, a paradigm of personal finance and investment ecosystem. With millions of users, StockGro is more than just a trading platform; it's an immersive experience that blends the best of social networking, investment education, and real-time trading!

At the heart of StockGro lies a risk-free experiential learning platform, where you can gain confidence and hone your stock trading skills without any fear of financial loss. Through experiential learning journeys and challenges, users can test their strategies and experience the thrill of stock market trading.

But StockGro is not just about trading; it's a vibrant community of enthusiastic learners and experts. Users can connect, share, and collaborate with educators, fund managers, influencers, and friends, all on one user-friendly platform. Validate investment ideas, analyze top-performing portfolios, and easily navigate the stock market's complexities.","Java
Python
SQL
Google Cloud",https://www.instahyre.com/job-326869-data-engineer-at-stockgro-bangalore/
Blenheim Chalcot,Data Engineer,Mumbai,Founded in 1998,More than 1000 employees,"We are venture builders, not venture capitalists. We invest more than just funds; we invest our knowledge and experience, our ideas and our infrastructure. Working alongside entrepreneurs and co-founders, we support our ventures from startup to scale to exit, giving them access to the global networks and business development services they need to grow. This support is bolstered by the innovation partnerships we forge with big businesses. Our digital expertise helps them be more agile, while their global scope helps our ventures scale faster.

Founded in 1998 Blenheim Chalcot traces its roots back to net decisions, the internet services group. Already back then we set out to build companies to transform industry sectors. And since then we've become the UK's leading venture builder, with portfolio sales of over 350m, more than 3,000 employees, and a successful track record of over 40 companies.

Our approach to transforming industries has always been the same. We identify high growth sectors, typically undergoing some market, technology or regulatory discontinuity, and look to build scalable platforms that satisfy a real customer need. We aim to build profitable companies, with sustainable business models.","Python
Machine Learning
ETL
Data Warehousing
AWS",https://www.instahyre.com/job-323559-data-engineer-at-blenheim-chalcot-mumbai/
Almabase,Backend Engineer,Bangalore,Founded in 2013,10 - 50 employees,"Almabase is a SaaS platform that empowers small shop alumni teams across schools, colleges and universities to increase their alumni engagement without growing their resources.

Almabase is an all-in-one alumni relations software built to amplify your team's impact by simplifying a lot of your day-to-day work and helping you do more. With Almabase, you would not need to spend time keeping track of alumni on LinkedIn, updating alumni database by hand, managing event registrations on excel, or pulling lists for mailers.

Large, well funded alumni teams manage all of this and more with a bouquet of software's and resources deployed to make them work with each other.","Python
Django",https://www.instahyre.com/job-322339-backend-engineer-at-almabase-bangalore/
Zocket,ML Engineer,Chennai,Founded in 2021,50 - 200 employees,"Zocket is on a mission to transform how small businesses across the globe leverage digital marketing to reach more customers. Currently there are only two options for an SMB owner, either employ a digital marketing agency or stay away from digital ads. True to the mission, Zocket leverages AI to simplify and deskill digital marketing for 300 million+ small businesses of the globe!","Python
Machine Learning
OpenCV
PyTorch
TensorFlow
Keras",https://www.instahyre.com/job-310440-ml-engineer-at-zocket-chennai/
InMobi,Principal Data Scientist,Bangalore,Founded in 2007,More than 1000 employees,"InMobi is the world's leading Marketing Cloud, driving real connections between brands and consumers. We create new paths for brands to understand, identify, engage and acquire consumers by leveraging our exclusive access to mobile intelligence and technology platforms.

As a leading technology company founded in 2007 InMobi has been recognized as a 2019 CNBC Disruptor 50 company and as Fast Company's 2018 Most Innovative CompaniesFor more information, visit InMobi.com .

InMobi was conceptualized and born against all odds. A company based out of India tackling mobile in 2007 was no ordinary task. Venture Capital was hard to come by and investors frowned on internet companies from India. InMobi was founded in this opaque environment because its founders had foresight and the required passion to be able to disrupt an industry. Some of the world's greatest innovations are always met with hostility and InMobi was no different. This is our story - the story of how we built a tech powerhouse headquartered in India. InMobi has 22 offices in 12 countries across 5 continents and employs 1000+ people.

The InMobi Culture
Our culture is our true north as we nurture all InMobians to maximize their potential by enabling them to think big, giving them complex challenges to solve and providing opportunities to grow. Together as a team, InMobians are passionate and driven, creative and fun loving, take ownership and are results focused. We are changing the world of mobile and with 20 diverse international offices, chances are we're looking for someone just like you.","Machine Learning
NLP
Python",https://www.instahyre.com/job-326667-principal-data-scientist-at-inmobi-bangalore/
Affine,Principal - Data Analyst,Bangalore,Founded in 2011,500 - 1000 employees,"Affine is a global leader in professional services and solutions at the forefront of AI, data engineering, and cloud technologies. With our distributed team of over 500 analytics professionals across North America, Europe, and Asia, we are dedicated to enabling global enterprises to transform and innovate through the power of AI (Artificial Intelligence), data engineering, and cloud technologies.

We offer exciting career opportunities for professionals seeking to make a significant impact. Our diverse team represents a rich tapestry of talent, expertise, and cultural backgrounds. As an Affine employee, you'll be part of a dynamic and inclusive work environment that values collaboration, creativity, and continuous learning. Joining Affine means immersing yourself in a world of cutting-edge projects and solutions. We work closely with global clients spanning various sectors, including manufacturing, gaming, consumer packaged goods (CPG), media and entertainment, travel, and technology. As a member of our team, you'll have the opportunity to leverage your skills and contribute to transformative projects that shape industries and redefine the future.

We believe in investing in our people and nurturing their growth. Affine is dedicated to your professional development and offers a range of learning opportunities, mentorship programs, and career advancement paths. We also encourage innovation and thought leadership through our strong connections with esteemed institutions like UC Berkeley and premier Indian Institutes of Technology (IITs), ensuring that you stay at the forefront of industry advancements. At Affine, we foster a culture of collaboration, where ideas are valued, and teamwork is celebrated. As you work alongside some of the brightest minds in the industry, you'll be inspired to push boundaries, solve complex challenges, and make a lasting impact on the world.","Microsoft Excel
Power BI
Python
SQL
Tableau",https://www.instahyre.com/job-323724-principal-data-analyst-at-affine-bangalore/
NoteActive,AI / ML Engineer,Work From Home,Founded in 2016,10 - 50 employees,"Our branded digitization platform is about using innovative technologies to improve outcomes and deliver valuable services for the future. We have created the leading enterprise digital logging platform that is innovative, adaptable, and transformative. Our mission is to eliminate paper-based functions in various industries by converting outdated practices into modern and efficient digital processes.

Our branded digitization platform is about using innovative technologies to improve outcomes and deliver valuable services for the future. We have created the leading enterprise digital logging platform that is innovative, adaptable, and transformative. Our mission is to eliminate paper-based functions in various industries by converting outdated practices into modern and efficient digital processes.

NoteActive provides immediate access to your logged data via mobile devices, including smartphones, tablets, or wearables. We empower businesses to meet the expanding demands of a mobile-first society. Our administrative panel supports two layers of authentication. This is a security process in which the user provides two means of identification from separate categories of credentials. Our cloud-connected logbook platform provides remote accessibility and increases the connectivity of users from any laptop, desktop computer, or smartphone device anywhere in real time.","Machine Learning
NLP
Computer Vision
Python
Generative AI",https://www.instahyre.com/job-325246-ai-ml-engineer-at-noteactive-work-from-home/
DeepMatrix,Senior Machine Learning,Bangalore,Founded in 2022,10 - 50 employees,"DeepMatrix is a deep tech startup transforming the utilization of geospatial data. With its cloud-native SaaS platform and AI-driven business model, the company offers comprehensive capabilities across the entire data life cycle, encompassing data ingestion through to advanced analytics.

Our solution is characterized by its scalability and adaptability, catering to a broad range of industries but not limited to Asset Management and Mining. The user-friendly nature of our platform extends to its data-agnostic capability, accommodating various GIS datasets. Furthermore, its ease of use, responsiveness, and efficiency make it an indispensable tool for diverse requirements.

Our team comprises industry leaders and GIS specialists who collaborate closely with clients to deliver tailored solutions. Our commitment revolves around the effective utilization of geospatial data to enhance resource productivity, reduce costs, and elevate safety, accessible anytime and anywhere. We are a pioneering deep-tech startup with a mission to reimagine the GIS industry and solve complex business problems across multiple industries like Mining, Urban Management, Asset Management, and many more.","Python
Machine Learning
PyTorch
TensorFlow",https://www.instahyre.com/job-318079-senior-machine-learning-at-deepmatrix-bangalore/
CAST,Software Engineer,Bangalore,Founded in 1990,200 - 500 employees,"CAST is the market leader in the emerging field of software intelligence. Its unique technology thoroughly examines the structure of complex software systems, with MRI-like precision, to deliver accurate, actionable, and automated views of software architecture, critical flaws, quality grades, sizing metrics, open source usage, and cloud readiness levels.

CIOs and business leaders rely on CAST for greater objectivity in critical decisions. Cloud leaders and architects apply CAST intelligence for faster application modernization. Product Executives, QA VPs and Development leads continually raise the quality, security, and resiliency of their software applications, using CAST.

With recent injection of capital, hundreds of enterprise clients, strong partnerships with top advisories, global SIs, and Cloud vendors, the company is ready to expand. CAST operates globally with offices in North America, Europe, India, China.","Angular
Golang
Java
JavaScript
Node.js
Python
React.js",https://www.instahyre.com/job-323984-software-engineer-at-cast-bangalore/
Adagrad AI,Data Quality Engineer,Bangalore,Founded in 2018,10 - 50 employees,"Our story began in 2018 when some of us were still in college. While solving some of the world's most complex design problems during undergrad like self-driving cars and representing India at Hockenheimring, we realized the potential of AI. We went on to quit our jobs at some of the best AI labs in the world like Microsoft Research and Dev, Georgia Tech, and more to do the most meaningful work of our lives. Today, our algorithms run on thousands of cameras across the world empowering organizations to do more harnessing the true capacity of Artificial Intelligence.

Our mission is to push the frontiers of what's possible using artificial intelligence using exceptional techniques in GPU programming, Deep Learning, and Mathematics. The name ""Adagrad"" comes from a mathematical optimizer that fundamentally changed the paradigm of Deep Learning introducing adaptive gradients, similar to how we envision changing how industries function through the use of AI.","Python
Quality Assurance
ETL
Azure
Big Data",https://www.instahyre.com/job-327018-data-quality-engineer-at-adagrad-ai-bangalore/
NStarX,Full Stack Developer (Python),Hyderabad,Founded in 2014,50 - 200 employees,"NStarX (earlier Abhra Inc) is a full-fledged global IT solutions company with more than 10 years of experience in helping startups and SMB clients build cutting-edge SaaS products and platforms for the global market. We have a track record of success in building SaaS solutions for clients that were later acquired by publicly listed companies as well as a recent successful exit from a leading SaaS practice built over 5 years. Our mission is to become a recognized leader in maximizing the value of cloud platforms for our clients.

Technological innovation is the only way an organization can stay relevant in the current market the world over. Our business model revolves around providing viable cloud-based technical solutions based on the needs of the client. We design cutting-edge applications that can be customized to suit individual client requirements. Our mainstay focus is on the development and implementation of as-a-service, cloud platforms, mobile platforms for both iOS and Android, and e-commerce platforms.","Python
React.js
Django
Flask",https://www.instahyre.com/job-321147-full-stack-developer-python-at-nstarx-hyderabad/
Manifest,Data Scientist,Bangalore,Founded in 2017,0 - 10 employees,"Manifest It! Publishing is a #1 best-selling book publisher, including complete proofreading and editing services. The #1 best-selling ""Don't Feel Stuck! "" books available worldwide, including on Amazon.com and BarnesandNoble.com . The ""Manifest It! "" Podcast, available through Apple, Spotify, iHeartradio, Pandora, Google, Amazon, etc., hosts collaborations with female leaders in the business, wellness/spiritual, and Hollywood industries. My Manifesting Journal"" and ""My Affirmation Journal, "" a line of journals with various designs and colors that pair with the ""Don't Feel Stuck! "" books to help you ManiFAST (Manifest Faster), available on Amazon.com .","Amazon SageMaker
NLP
Python
Machine Learning",https://www.instahyre.com/job-309020-data-scientist-at-manifest-bangalore/
Thoucentric,Data Scientist,Mumbai,Founded in 2015,200 - 500 employees,"Thoucentric is a niche management consulting company that uses relevant digital and functional domain expertise to solve problems in the supply chain, sales, distribution, and finance. The consulting framework of Thoucentric integrates subject matter expertise, technological understanding, structured project management, and governance. As a result, our consultants have a natural advantage over the traditional consultant, who concentrates solely on advisory services.

Our consulting capabilities have been institutionalized and anchored by the industry senior partners who have been there and done that as people in environments like our clients', this has allowed us to create teams who can act naturally as extensions of our client's teams. In our problem-solving journey, we stay aware of the evolving technology landscape through partnerships with the best in the business. Thoucentric collaborates with our technology partners to develop strategies, and our consultants work on end-to-end projects incorporating these world-class technologies.

In the process, we have built a state-of-the-art digital workforce of data scientists, engineers, and visualization experts, creating solutions for clients who want to develop point solutions themselves. Thoucentric Labs' successful product launches in the areas of demand forecasting, predictive quality, business scenario planning, and commodity price forecasting validate our excellent problem-solving skills.",Python,https://www.instahyre.com/job-319140-data-scientist-at-thoucentric-mumbai/
Neuron7,Senior Data Scientist,Bangalore,Founded in 2020,10 - 50 employees,"Neuron7 helps customer and field service teams diagnose and resolve complex issues in seconds. The Neuron7 AI platform works with existing customer service systems and a company's entire body of structured and unstructured service data to help agents, technicians, bots, and self-service portals diagnose and resolve any issue instantly, accurately, and more profitably.

Our groundbreaking AI and Natural Language Processing (NLP) technology unlocks tribal knowledge so that all service team members perform like experts. Our vision is to enable enterprises that make every single service decision using Collective Service Intelligence, accurately.Neuron7 Service Intelligence is ready to work with your industry-specific datasets, systems, and stakeholders. Learn how AI can improve customer service experiences and metrics in your industry.","NLP
Machine Learning
Python
LLMs
Information Retrieval",https://www.instahyre.com/job-319425-senior-data-scientist-at-neuron7-bangalore/
Datinfi,AI / ML Engineer,Coimbatore,Founded in 2016,10 - 50 employees,"Datinfi was founded in Coimbatore, Tamilnadu, India, in 2016 by analysts and machine learning experts to bring the power of transformative technology to the core business operations of SMEs. Datinfi is a dynamic and innovative company that specializes in providing advanced data analytics solutions to businesses across various industries. With a strong focus on delivering actionable insights and driving data-driven decision-making, we empower our clients to unlock the full potential of their data. At Datinfi, we pride ourselves on our team of highly skilled professionals who are passionate about data and technology. Our talented data scientists, engineers, and analysts work collaboratively to develop cutting-edge solutions that address our clients' unique challenges and drive business growth.

At Datinfi, we pride ourselves on our team of highly skilled professionals who are passionate about data and technology. Our talented data scientists, engineers, and analysts work collaboratively to develop cutting-edge solutions that address our clients' unique challenges and drive business growth. With a client-centric approach, we strive to understand the specific needs and goals of each organization we partner with. By leveraging state-of-the-art technologies and industry best practices, we deliver tailored solutions that provide measurable results and tangible value.","Computer Vision
Machine Learning
NLP
Python
PyTorch
Scikit-learn
TensorFlow",https://www.instahyre.com/job-325347-ai-ml-engineer-at-datinfi-coimbatore/
Nielsen,Python Developer,Mumbai,Founded in 1923,More than 1000 employees,"Nielsen Holdings plc (NYSE: NLSN) is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. Our approach marries proprietary Nielsen data with other data sources to help clients around the world understand what's happening now, what's happening next, and how to best act on this knowledge.

For more than 90 years Nielsen has provided data and analytics based on scientific rigour and innovation, continually developing new ways to answer the most important questions facing the media, advertising, retail and fast-moving consumer goods industries. An S&P; 500 company, Nielsen has operations in over 100 countries, covering more than 90% of the world's population.","Python
SQL
AWS
Docker
Data Structures",https://www.instahyre.com/job-326862-python-developer-at-nielsen-mumbai/
Advisor360,SDET,Bangalore,Founded in 2019,500 - 1000 employees,"Based in Weston, Massachusetts, Advisor360 is a deeply-integrated wealth management platform that streamlines advisor workflow, increases productivity, and drives enterprise growth. We build enterprise software as the single system of record for all components of the platform whether these are investor- or advisor-facing components or to support broker-deal back office processing.

We've dedicated many years to the relentless pursuit of uniting the entire data management life cycle to deliver a deeply integrated, comprehensive platform. Building and delivering an amazing enterprise wealth management platform experience, powered by our secure unified data fabric, is our business and our only business. We make the complicated connections between investment, insurance, and banking account data, and third-party applications and workflows.","Automation Testing
SDET
Python
Selenium",https://www.instahyre.com/job-318075-sdet-at-advisor360-bangalore/
Nielsen,Fullstack Developer,Mumbai,Founded in 1923,More than 1000 employees,"Nielsen Holdings plc (NYSE: NLSN) is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. Our approach marries proprietary Nielsen data with other data sources to help clients around the world understand what's happening now, what's happening next, and how to best act on this knowledge.

For more than 90 years Nielsen has provided data and analytics based on scientific rigour and innovation, continually developing new ways to answer the most important questions facing the media, advertising, retail and fast-moving consumer goods industries. An S&P; 500 company, Nielsen has operations in over 100 countries, covering more than 90% of the world's population.","React.js
Java
Python
Angular
Data Structures",https://www.instahyre.com/job-327006-fullstack-developer-at-nielsen-mumbai/
DataCore Software,Platform Engineer,Bangalore,Founded in 1998,200 - 500 employees,"DataCore Software is the authority on real-time data and is the cornerstone of the next generation, software-defined data center. We pioneered software-defined storage and have now expanded our technology leadership to hyperconverged infrastructures. We empower IT organisations to achieve always available, high-performance, and highly efficient data systems.

Our patented technology eliminates storage bottlenecks with adaptive parallel I/O optimisation, enables zero-downtime synchronous mirroring, and provides a true hardware-agnostic architecture, resulting in flexibility, resource efficiencies, and cost savings. DataCore's value has been proven in over 10,000 deployments across traditional, hyper-converged, cloud, and hybrid environments.","Linux
Python
API Testing
Bash
Kubernetes",https://www.instahyre.com/job-322908-platform-engineer-at-datacore-software-bangalore/
Salesforce,Senior Database Development Engineer (PMTS),Hyderabad,Founded in 1999,More than 1000 employees,"Eighteen years ago, we launched Salesforce with a vision to create a new kind of company.

Salesforce pioneered a new technology model with our cloud platform, a new pay-as-you-go business model focused on customer success, and a new integrated corporate philanthropy model, called the 1-1-1 model, by which we donate 1% of our equity, 1% of our employee time, and 1% of our product to improve communities around the world.

This vision has fueled our incredible growth, made us the global leader in CRM, defined the era of enterprise cloud computing, and inspired a new philanthropic model for all companies to follow. Today, Salesforce's Customer Success Platform provides groundbreaking cloud services for sales, service, marketing, community, analytics, apps and the Internet of Things.

Thanks to our dedicated employees, partners, and the customers we serve, Salesforce is the fastest growing top 10 software company in the world and has been ranked as one of the world's most innovative companies by Forbes for five years in a row. Salesforce empowers companies to connect with their customers in a whole new way, run their business from their phones, create one-to-one customer journeys and make smarter, more predictive decisions from anywhere in real-time.","C++
Golang
Java
Node.js
Python
Scala
J2EE",https://www.instahyre.com/job-284105-senior-database-development-engineer-pmts-at-salesforce-hyderabad/
D. E. Shaw,Principal Manager (Tech),"Bangalore, Hyderabad",Founded in 1988,More than 1000 employees,"The D. E. Shaw group is a global investment and technology development firm with offices in North America, Europe, and Asia. Since our founding in 1988 our firm has earned an international reputation for successful investing based on innovation, careful risk management, and the quality and depth of our staff. We have a significant presence in the world's capital markets, investing in a wide range of companies and financial instruments in both developed and developing economies.

Our culture demands and rewards analytical rigor and adherence to the highest possible ethical and legal standards, and we've cultivated a collegial work environment that promotes collaboration across disciplines, geographies, and investment strategies. Our firm has been built in part by attempting to do what other companies might consider impossible, or never imagine at all. A single transformative idea that ultimately works for a new business, a new trading model, or an improved back office processis worth a dozen ideas that lead nowhere. We've learned that when an extraordinary team sets extraordinarily ambitious goals, astonishing breakthroughs can be expected.","Java
JavaScript
Python
React.js
Spring",https://www.instahyre.com/job-311459-principal-manager-tech-at-d-e-bangalore-hyderabad/
Juleo,Backend Developer,Gurgaon,Founded in 2023,0 - 10 employees,"Juleo is a Delhi NCR-based Applied AI and Consumer Tech company tackling one of the largest unsolved consumer internet problems of our time. We are a motley crew of smart, passionate, and nice people who believe individuals can build a high-performing company with a culture of respect aka a sports team with a heart aka a caring meritocracy. Our illustrious backers include unicorn founders, serial entrepreneurs with exits, tech and consumer industry stalwarts, and investment professionals/bankers. We are hard at work and we are here to revolutionize the technology industry.","Golang
Java
Python
Node.js
Algorithms",https://www.instahyre.com/job-320942-backend-developer-at-juleo-gurgaon/
Oneture Technologies,Machine Learning Engineer,Mumbai,Founded in 2016,10 - 50 employees,"Founded in 2016 Oneture is headquartered in Mumbai, India. Oneture Technologies is a cloud-first, full-service, Amazon Web Service (AWS) partner committed to delivering innovative technology solutions that solve real-life challenges. Our team is full of curious, full-stack, innovative thought leaders who are dedicated to providing outstanding customer experiences and building authentic relationships. We are compelled by our core values to drive transformational results from idea to reality for clients across all company sizes, geographies, and industries. The Oneture team delivers full lifecycle solutionsfrom ideation, project inception, planning through deployment to ongoing support and maintenance.

To date, we have transformed 30+ Cloud, Bigdata and AI/ML ideas/programs into the reality for our clients in BFSI, FinTech, eCommerce, and Internet sectors - ranging from start-ups to large Fortune 1000 corporations. Our core competencies and technical expertise includes:

Our core competencies and technical expertise includes:

Developing concept-to-customer innovative, scalable Digital Solutions in an agile way by following modern-day application development practices across native to cloud, serverless, bigdata analytics and AI/ML frameworks/platforms offer using Amazon AWS Cloud, MEAN, MERN, Java, Ruby on Rails, Python technologies

Helping enterprise unearth insights by architecting data-centric applications through building Big Data, Data lakes, Data Engineering, Visualization, Predictive Analytics, Data Mining, Machine Learning and real-time processing of data using Apache Spark, Hadoop, Databricks, AWS - EMR, Redshift Elasticsearch, Python, R, No SQL, MongoDB, Cassandra.","Java
Python",https://www.instahyre.com/job-315719-machine-learning-engineer-at-oneture-technologies-mumbai/
